curated 1000 rows from 646 documents
level 0: 108 probes
  r.6.1: repl 0.933 class ind 0.007 n=5760 tokens ['\n\n', '\n\n', '\n\n', '\n\n', 'cpp', '9']
    r.6.1.0: repl 0.887 class newline 0.05 n=864 tokens ['H', 'BIP', 'W', '\n\n', 's', 'nd']
    r.6.1.1: repl 0.7 class newline 0.049 n=864 tokens ['\n', '\n', '\n', '\n', '\n', '98']
    r.6.1.2: repl 0.734 class ind 0.046 n=864 tokens ['0', '\n', '\n', '\n', '6', '53']
    r.6.1.3: repl 0.849 class newline 0.077 n=864 tokens ['{', '\n', '\n', 'HAM', ')', 'E']
  r.6.2: repl 0.929 class newline 0.017 n=5760 tokens ['v', '--------------', 'N', '97', '}', 'ings']
    r.6.2.0: repl 0.946 class newline 0.042 n=864 tokens [' Teen', '309', ' Case', ':', '.', ' War']
    r.6.2.1: repl 0.687 class newline 0.085 n=864 tokens ['H', 'Height', '\n', ' Author', 'Size', '\n']
    r.6.2.2: repl 0.178 class newline 0.018 n=864 tokens ['231', '5', '238', '6', '1', '7']
    r.6.2.3: repl 0.42 class rep 0.052 n=864 tokens ['>', '>', '}', ' ', '");', ':']
  r.6.3: repl 0.803 class newline 0.019 n=5760 tokens ['98', '.', '\n', '\n', '.', '\n']
    r.6.3.0: repl 0.736 class rep 0.037 n=864 tokens ['64', '\n', '9', '\n', 's', '\n']
    r.6.3.1: repl 0.45 class ind 0.007 n=864 tokens ['309', 'H', '238', ' Oracle', '\n', '5']
    r.6.3.2: repl 0.512 class newline 0.022 n=864 tokens ['\n', '98', '\n', '\n', '6', '53']
    r.6.3.3: repl 0.567 class newline 0.036 n=864 tokens ['};', '"', '7', '\r', '7', 'W']
r.7: repl 0.817 class rep 0.013 n=38400 tokens ['{', '*', '-', ' *', '\n', '\n']
  r.7.0: repl 0.995 class newline 0.153 n=5760 tokens ['\n\n', 'ings', ' bar', '\n\n', ' ^', '}']
    r.7.0.0: repl 0.959 class newline 0.339 n=864 tokens [' star', '/**', 'W', '1', '~', '2']
    r.7.0.1: repl 0.922 class rep 0.091 n=864 tokens ['250', '7', '\n', 'th', '];', ' ""']
    r.7.0.2: repl 0.941 class subword 0.024 n=864 tokens ['\n', '98', '\n', '\n', '\n', '\n']
    r.7.0.3: repl 0.977 class subword 0.022 n=864 tokens ['4', '{', '\n', '3', ' Young', '4']
  r.7.1: repl 0.973 class rep 0.003 n=5760 tokens ['}', 'H', 'True', '\n\n', ' and', '>']
    r.7.1.0: repl 0.978 class rep 0.01 n=864 tokens ['7', '{', ' Science', '64', '\n', '\n']
    r.7.1.1: repl 0.793 class newline 0.108 n=864 tokens [' Case', '}', ',', '~~~~~~~~~~~~~~~~', 'H', 'D']
    r.7.1.2: repl 0.667 class newline 0.014 n=864 tokens ['void', 'False', '7', 'Guard', '5', ' 4']
    r.7.1.3: repl 0.882 class newline 0.002 n=864 tokens ['\n', '\n', '\n\n', '\n', '\n', '\n']
  r.7.2: repl 0.963 class newline 0.111 n=5760 tokens ['[]', ';', ' false', '--------------', ';', 'addr']
    r.7.2.0: repl 0.914 class newline 0.331 n=864 tokens ['\n', 'E', 'H', ' ', ' star', 's']
    r.7.2.1: repl 0.729 class ind 0.032 n=864 tokens ['7', '6', '7', '\n', '\n', '\n']
    r.7.2.2: repl 0.621 class newline 0.025 n=864 tokens ['11', 'True', '7', ' Young', '\n', '\n']
    r.7.2.3: repl 0.695 class newline 0.024 n=864 tokens ['False', 'False', 'False', 'B', 'False', 'False']
  r.7.3: repl 0.981 class newline 0.026 n=5760 tokens [':', ' Teen', '2', ':', ' ', '}']
    r.7.3.0: repl 0.935 class newline 0.027 n=864 tokens [' ', ' Jobs', ' 2001', '.', ' Archive', ' ']
    r.7.3.1: repl 0.884 class ind 0.011 n=864 tokens ['\n', '\n', '="/', '\n', ']', ' Functions']
    r.7.3.2: repl 0.758 class rep 0.017 n=864 tokens ['False', ':', '}', 'False', '238', 'True']
    r.7.3.3: repl 0.333 class newline 0.03 n=864 tokens ['\n', '\n', 'B', '\n', '\n', '\n']
r.8: repl 0.825 class newline 0.014 n=38400 tokens ['\r', '0', 'DD', ':', '\r', '.']
  r.8.0: repl 0.971 class ind 0.011 n=5760 tokens ['--------------', 's', ' reads', '9', '18', 'URE']
    r.8.0.0: repl 0.955 class ind 0.039 n=864 tokens ['\n', 'H', '9', 'B', '\n', 'P']
    r.8.0.1: repl 0.394 class rep 0.003 n=864 tokens ['98', '\n', '15', '\n', '53', '\n']
    r.8.0.2: repl 0.383 class newline 0.02 n=864 tokens [' Teen', 'void', '\n', '7', '3', '"']
    r.8.0.3: repl 0.385 class digit 0.004 n=864 tokens [' for', '%', '1', 'javascript', '.', '8']
  r.8.1: repl 0.716 class newline 0.094 n=5760 tokens [':', '\n', '\n', '%', '\n', '\n']
    r.8.1.0: repl 0.989 class newline 0.29 n=864 tokens ['nd', ' Teen', ' Stranger', '\n\n', ' ', '/**']
    r.8.1.1: repl 0.747 class ind 0.048 n=864 tokens ['\n', '\n', '15', '\n', '40', '98']
    r.8.1.2: repl 0.823 class rep 0.027 n=864 tokens ['64', '));', ':', '3', '\n', '\n']
    r.8.1.3: repl 0.682 class rep 0.005 n=864 tokens ['2', 'E', '"', 'sv', '\n', '\n']
  r.8.2: repl 0.753 class rep 0.002 n=5760 tokens ['\n\n', '96', ':', '\n', '5', '02']
    r.8.2.0: repl 0.104 class other 0.006 n=864 tokens ['9', '238', ' for', '7', '11', '231']
    r.8.2.1: repl 0.693 class rep 0.004 n=864 tokens ['nd', '3', ' Case', '18', '~~~~~~~~~~~~~~~~', '\n']
    r.8.2.2: repl 0.438 class newline 0.022 n=864 tokens ['\n', '3', '40', '0', '15', '\n']
    r.8.2.3: repl 0.252 class newline 0.069 n=864 tokens ['v', 'BIP', 'W', 'L', '\n', '1']
  r.8.3: repl 0.979 class newline 0.02 n=5760 tokens ['\n\n', '6', ' Mathematics', '>', 'ampton', '//']
    r.8.3.0: repl 0.975 class newline 0.036 n=864 tokens ['3', '\n', '15', '53', '98', '9']
    r.8.3.1: repl 0.754 class newline 0.02 n=864 tokens ['238', 'H', 'omore', ' Oracle', 'W', ':']
    r.8.3.2: repl 0.587 class newline 0.058 n=864 tokens [':', '\n\n', ':', '{', 'TS', 'BIP']
    r.8.3.3: repl 0.514 class newline 0.014 n=864 tokens ['3', ' Science', '\n', '\n', ' ', '}']
r.9: repl 0.709 class ind 0.013 n=38400 tokens ['\n', '\n', '\n', 'In', '\n', '\n']
  r.9.0: repl 0.996 class ind 0.111 n=5760 tokens ['.)', '.', ' in', ' At', ' indicates', ' all']
