[bqrunner] started 21:20:51
[bqrunner2] 00:28:47 running attn_composite7
[bqrunner] 00:30:29 mlp0_attn1_edge_rank exit=0
[bqrunner2] 00:31:46 attn_composite7 exit=0
[bqrunner] 00:33:49 running bilin18_canary2
[bqrunner] 00:34:06 bilin18_canary2 exit=0
[bqrunner2] 00:43:46 running attn_lowrank_qk
[bqrunner] 00:43:46 running mlp0_attn1_values_edge
[bqrunner] 00:45:22 mlp0_attn1_values_edge exit=0
[bqrunner2] 00:46:18 attn_lowrank_qk exit=0
[bqrunner2] 00:58:18 running attn_lowrank_qk2
[bqrunner] 00:58:22 running mlp0_block1_centered
[bqrunner] 00:59:49 mlp0_block1_centered exit=0
[bqrunner2] 01:00:56 attn_lowrank_qk2 exit=0
[bqrunner] 01:04:09 running bilin18_canary2
[bqrunner] 01:04:25 bilin18_canary2 exit=0
[bqrunner] 01:04:45 running edge_direction_names
[bqrunner] 01:05:20 edge_direction_names exit=0
[bqrunner2] 01:09:36 running attn5_hybrid2
[bqrunner] 01:09:40 running edge_axis_causal
[bqrunner2] 01:10:49 attn5_hybrid2 exit=0
[bqrunner] 01:11:06 edge_axis_causal exit=0
[bqrunner] 01:12:46 running attn_lowrank_sweep
[bqrunner2] 01:12:49 running mlp1_edge_centered
[bqrunner2] 01:14:40 mlp1_edge_centered exit=0
[bqrunner] 01:15:17 attn_lowrank_sweep exit=0
[bqrunner] 01:15:57 running edge_atlas_part1
[bqrunner2] 01:16:00 running edge_atlas_part2
[bqrunner] 01:22:25 edge_atlas_part1 exit=0
[bqrunner2] 01:22:47 edge_atlas_part2 exit=0
[bqrunner] 01:30:25 running attn_composite8
[bqrunner2] 01:30:27 running mlp17_channel
[bqrunner2] 01:33:39 mlp17_channel exit=0
[bqrunner] 01:34:13 attn_composite8 exit=0
[bqrunner] 01:34:34 running bilin18_canary2
[bqrunner] 01:34:50 bilin18_canary2 exit=0
[bqrunner2] 01:44:19 running mlp1_scale
[bqrunner] 01:44:30 running full_ship
[bqrunner2] 01:46:36 mlp1_scale exit=0
[bqrunner] 01:46:44 full_ship exit=0
[bqrunner2] 01:56:56 running mlp8_ladder
[bqrunner] 01:58:24 running full_ship2
[bqrunner2] 01:58:41 mlp8_ladder exit=0
[bqrunner] 02:00:01 full_ship2 exit=0
[bqrunner2] 02:00:01 running deep_mid_sweep
[bqrunner] 02:05:01 running bilin18_canary2
[bqrunner] 02:05:05 bilin18_canary2 exit=1
[bqrunner2] 02:05:44 deep_mid_sweep exit=0
[bqrunner2] 02:14:04 running ship_mlp2_diag
[bqrunner] 02:14:05 running d2_circuit
[bqrunner2] 02:16:17 ship_mlp2_diag exit=0
[bqrunner] 02:16:27 d2_circuit exit=0
[bqrunner2] 02:28:57 running channel_consumers
[bqrunner] 02:29:07 running channel_circuit
[bqrunner2] 02:29:34 channel_consumers exit=0
[bqrunner] 02:30:47 channel_circuit exit=0
[bqrunner] 02:35:07 running bilin18_canary2
[bqrunner] 02:35:24 bilin18_canary2 exit=0
[bqrunner2] 02:44:14 running mlp2_fix
[bqrunner] 02:44:24 running channel_generalize
[bqrunner2] 02:45:51 mlp2_fix exit=1
[bqrunner] 02:46:13 channel_generalize exit=0
[bqrunner2] 02:57:31 running mlp2_fix
[bqrunner] 02:58:33 running handle_score_mlp1
[bqrunner2] 02:59:50 mlp2_fix exit=0
[bqrunner] 03:01:03 handle_score_mlp1 exit=0
[bqrunner] 03:05:43 running bilin18_canary2
[bqrunner] 03:05:59 bilin18_canary2 exit=0
[bqrunner2] 03:13:30 running ship_glue
[bqrunner] 03:13:39 running handle_score_mlp1b
[bqrunner2] 03:16:02 ship_glue exit=0
[bqrunner] 03:16:43 handle_score_mlp1b exit=0
[bqrunner2] 03:28:22 running handle_site_mlp2
[bqrunner] 03:28:24 running ship_glue2
[bqrunner2] 03:32:32 handle_site_mlp2 exit=0
[bqrunner] 03:33:06 ship_glue2 exit=0
[bqrunner] 03:36:06 running bilin18_canary2
[bqrunner] 03:36:23 bilin18_canary2 exit=0
[bqrunner] 03:43:43 running full_ship3
[bqrunner2] 03:43:52 running handle_site_mlp3
[bqrunner] 03:44:58 full_ship3 exit=1
[bqrunner2] 03:46:12 handle_site_mlp3 exit=0
[bqrunner] 03:57:38 running full_ship3
[bqrunner] 03:59:46 full_ship3 exit=0
[bqrunner] 04:06:26 running bilin18_canary2
[bqrunner] 04:06:42 bilin18_canary2 exit=0
[bqrunner2] 04:13:32 running attn_lowrank_r16
[bqrunner] 04:13:42 running full_ship4
[bqrunner2] 04:16:08 attn_lowrank_r16 exit=0
[bqrunner] 04:16:32 full_ship4 exit=0
[bqrunner2] 04:28:48 running deep_stream_quad
[bqrunner] 04:28:52 running ship_all36
[bqrunner2] 04:29:28 deep_stream_quad exit=1
[bqrunner] 04:31:28 ship_all36 exit=0
[bqrunner2] 04:34:08 running deep_stream_quad
[bqrunner2] 04:36:26 deep_stream_quad exit=0
[bqrunner] 04:36:48 running bilin18_canary2
[bqrunner] 04:37:04 bilin18_canary2 exit=0
[bqrunner] 04:40:04 running handle_predict
[bqrunner] 04:41:00 handle_predict exit=0
[bqrunner] 04:44:20 running circuit_cap
[bqrunner2] 04:44:26 running circuit_newline
[bqrunner] 04:45:43 circuit_cap exit=0
[bqrunner2] 04:46:26 circuit_newline exit=0
[bqrunner] 04:48:23 running circuit_cap2
[bqrunner2] 04:48:26 running circuit_newline2
[bqrunner] 04:49:06 circuit_cap2 exit=1
[bqrunner2] 04:49:14 circuit_newline2 exit=1
[bqrunner] 04:54:26 running circuit_cap2
[bqrunner2] 04:54:34 running circuit_newline2
[bqrunner] 04:56:28 circuit_cap2 exit=0
[bqrunner2] 04:56:34 circuit_newline2 exit=0
[bqrunner2] 04:56:34 running circuit_screen
[bqrunner2] 04:56:58 circuit_screen exit=134
[bqrunner] 04:57:48 running circuit_cap_fn
[bqrunner] 04:58:40 circuit_cap_fn exit=1
[bqrunner] 05:07:20 running bilin18_canary2
[bqrunner] 05:07:36 bilin18_canary2 exit=0
[bqrunner] 05:12:16 running circuit_cap_fn
[bqrunner2] 05:12:18 running circuit_screen
[bqrunner] 05:15:14 circuit_cap_fn exit=0
[bqrunner2] 05:15:39 circuit_screen exit=0
[bqrunner2] 05:27:59 running circuit_screen2
[bqrunner] 05:28:54 running circuit_digits
[bqrunner2] 05:30:36 circuit_screen2 exit=0
[bqrunner] 05:31:01 circuit_digits exit=0
[bqrunner] 05:37:41 running bilin18_canary2
[bqrunner] 05:38:02 bilin18_canary2 exit=0
[bqrunner2] 05:43:16 running circuit_h126
[bqrunner] 05:43:42 running circuit_greedy
[bqrunner2] 05:44:32 circuit_h126 exit=0
[bqrunner] 05:47:52 circuit_greedy exit=0
[bqrunner] 05:57:32 running circuit_greedy2
[bqrunner2] 05:58:13 running circuit_extract3
[bqrunner] 06:01:15 circuit_greedy2 exit=0
[bqrunner2] 06:01:34 circuit_extract3 exit=0
[bqrunner] 06:08:15 running bilin18_canary2
[bqrunner] 06:08:32 bilin18_canary2 exit=0
[bqrunner] 06:12:52 running circuit_greedy3
